web-scraper-order;web-scraper-start-url;load_article;load_article-href;get_title;get_authors;get_year;get_journal
1647173060-105;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;Was kann die Hochschule aus der Unternehmenspraxis lernen? (per Videokonferenz).;https://www.alexandria.unisg.ch/214167/;Was kann die Hochschule aus der Unternehmenspraxis lernen? (per Videokonferenz);Back, Andrea;23. Okt 09;
1647172862-11;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;Groupware im Kontext problemorientierter Computing Workspaces.;https://www.alexandria.unisg.ch/66861/;Groupware im Kontext problemorientierter Computing Workspaces;Back, Andrea;11. Jan 99;
1647173200-172;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;Fostering New Ventures: Organisational conditions for New Ventures in Unilever.;https://www.alexandria.unisg.ch/293/;Fostering New Ventures: Organisational conditions for New Ventures in Unilever;"van Wegen, B.; Makarevitch, Alexei; Kayser, T. & Enkel, Ellen";2001;
1647173706-414;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;Innovation durch den Einsatz von Enterprise IoT-Lösungen: Ein Modell zur Bestimmung des Innovationspotenzials.;https://www.alexandria.unisg.ch/258266/;Innovation durch den Einsatz von Enterprise IoT-Lösungen: Ein Modell zur Bestimmung des Innovationspotenzials;"Marheine, Christian; Gruber, Lukas & Back, Andrea";04. Nov 19;HMD Praxis der Wirtschaftsinformatik
1647173030-91;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;Wikis, Blogs & Co. - neue Kommunikations- und Organisationsformen im Gesundheitswesen.;https://www.alexandria.unisg.ch/213941/;Wikis, Blogs & Co. - neue Kommunikations- und Organisationsformen im Gesundheitswesen;Back, Andrea;06. Nov 07;
1647172893-26;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;Neue Aspekte des Informationsmanagements.;https://www.alexandria.unisg.ch/213398/;Neue Aspekte des Informationsmanagements;Back, Andrea;09. Nov 00;
1647173476-304;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;The New Enterprise Mobility: Seizing the Opportunities and Challenges in Corporate Mobile IT.;https://www.alexandria.unisg.ch/225214/;The New Enterprise Mobility: Seizing the Opportunities and Challenges in Corporate Mobile IT;"Sammer, Thomas; Brechbühl, Hans & Back, Andrea";17. Aug 13;
1647173317-228;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;Supporting integration after M&A throuth Knowledge Networks within RWE Net.;https://www.alexandria.unisg.ch/259/;Supporting integration after M&A throuth Knowledge Networks within RWE Net;"Gurgul, Grzegorz; Enkel, Ellen; Schulte, Kordula & Kruse, Carl-Heinrich";2007;
1647173198-171;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;Perspective for our partners: Boundaries of the firm.;https://www.alexandria.unisg.ch/295/;Perspective for our partners: Boundaries of the firm;"Enkel, Ellen; Gibbert, Michael; Makarevitch, Alexei & Vassiliadis, Stefanos";2001;
1647173342-240;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;Web-based Open Innovation - Wie Online-Gemeinschaften Dienstleistungen, Produkte und Wissen mitgestalten.;https://www.alexandria.unisg.ch/67823/;Web-based Open Innovation - Wie Online-Gemeinschaften Dienstleistungen, Produkte und Wissen mitgestalten;Back, Andrea;2009;
1647173263-202;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;Management Informationssysteme.;https://www.alexandria.unisg.ch/197075/;Management Informationssysteme;Back, Andrea;1996;
1647173323-231;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;Integrated Performance Measurement System for Knowledge Networks for Growth.;https://www.alexandria.unisg.ch/258/;Integrated Performance Measurement System for Knowledge Networks for Growth;"Enkel, Ellen; Rumyantseva, Maria & Gurgul, Grzegorz";2007;
1647173591-359;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;Software-Tools und Architekturmodell für das Wissensmanagement.;https://www.alexandria.unisg.ch/197020/;Software-Tools und Architekturmodell für das Wissensmanagement;Raimann, Joerg & Back, Andrea;1 July 2000;ControllerNews: Die Zeitschrift für Controlling und Unternehmensführung
1647173171-158;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;Dealing with Knowledge Assets.;https://www.alexandria.unisg.ch/66690/;Dealing with Knowledge Assets;"Vassiliadis, Stefanos; Gysin, Karl; Seufert, Andreas; Back, Andrea & von Krogh, G.";01. Jan 99;
1647173455-294;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;Einsatzmöglichkeiten von Virtual Private Workspace.;https://www.alexandria.unisg.ch/216768/;Einsatzmöglichkeiten von Virtual Private Workspace;Schoenenberg, Robin & Back, Andrea;21. Feb 12;
1647173392-264;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;Putting Knowledge Networks into Action: Methodology, Development, Maintenance.;https://www.alexandria.unisg.ch/213771/;Putting Knowledge Networks into Action: Methodology, Development, Maintenance;;2005;
