web-scraper-order,web-scraper-start-url,published,published-href,authors,date,journal,title
"1647205953-153","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Rollen, Prozesse und Führung in der Digitalen Transformation: Ratgeber und Fallstudien zur Strategiearbeit für das digitale Zeitalter (Teil 2).","https://www.alexandria.unisg.ch/248725/","Berghaus, Sabine & Back, Andrea","2016","null","Rollen, Prozesse und Führung in der Digitalen Transformation: Ratgeber und Fallstudien zur Strategiearbeit für das digitale Zeitalter (Teil 2)"
"1647205718-49","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Skill-Management: Heutiger Erkenntnisstand.","https://www.alexandria.unisg.ch/213314/","Back, Andrea","null","null","Skill-Management: Heutiger Erkenntnisstand"
"1647206362-344","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Kanzleiinformationssystem: Mehrdimensionales Kanzleicontrolling.","https://www.alexandria.unisg.ch/196936/","Back, Andrea & Seufert, Andreas","null","Datenverarbeitung-Steuer-Wirtschaft-Recht","Kanzleiinformationssystem: Mehrdimensionales Kanzleicontrolling"
"1647205672-27","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","e-Learning-Projekte: Neue Möglichkeiten durch vernetztes Lernen. Konzepte - Geschäftsmodelle - Erfahrungen.","https://www.alexandria.unisg.ch/66839/","Back, Andrea","null","null","e-Learning-Projekte: Neue Möglichkeiten durch vernetztes Lernen. Konzepte - Geschäftsmodelle - Erfahrungen"
"1647206420-371","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Wissensmanagement strategisch verankern.","https://www.alexandria.unisg.ch/65939/","Ammann Schoch, Regina; Back, Andrea; Kunert, Karsten & Tresch, Markus","null","Wissensmanagement : das Magazin für Führungskräfte","Wissensmanagement strategisch verankern"
"1647206343-335","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Kanzleiinformationssystem.","https://www.alexandria.unisg.ch/213561/","Back, Andrea & Seufert, Andreas","null","Datenverarbeitung-Steuer-Wirtschaft-Recht","Kanzleiinformationssystem"
"1647206034-191","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Blended-Learning-Projekte im Unternehmen.","https://www.alexandria.unisg.ch/213554/","Keller, Miriam & Back, Andrea","null","null","Blended-Learning-Projekte im Unternehmen"
"1647206088-216","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Avatar.","https://www.alexandria.unisg.ch/214161/","Bendel, Oliver","null","null","Avatar"
"1647206017-183","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","How Knowledge Networks in practice look like: Findings from an international survey.","https://www.alexandria.unisg.ch/287/","Enkel, Ellen & Wicki, Yvonne","2002","null","How Knowledge Networks in practice look like: Findings from an international survey"
"1647206129-235","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Gestaltung eines Blended-Learning-Szenarios vor dem Hintergrund der Unterstützung einer neuen Lernkultur in Unternehmen.","https://www.alexandria.unisg.ch/67295/","Back, Andrea & Keller, Miriam","null","null","Gestaltung eines Blended-Learning-Szenarios vor dem Hintergrund der Unterstützung einer neuen Lernkultur in Unternehmen"
"1647206459-389","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Broadening Participation in Knowledge Management in Enterprise 2.0.","https://www.alexandria.unisg.ch/146672/","Back, Andrea & Koch, Michael","null","Information Technology : it","Broadening Participation in Knowledge Management in Enterprise 2.0"
"1647206135-238","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Unternehmensinternes Multiblog der Namics AG.","https://www.alexandria.unisg.ch/214325/","Hain, Stefanie & Schopp, Bernd","null","null","Unternehmensinternes Multiblog der Namics AG"
"1647205654-18","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Trend-Landkarte: Unternehmen im Informationszeitalter, Groupware-Tutorial1.","https://www.alexandria.unisg.ch/214207/","Back, Andrea","null","null","Trend-Landkarte: Unternehmen im Informationszeitalter, Groupware-Tutorial1"
"1647206352-339","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Entwicklungen im Markt und in Anwendungsfeldern von Groupware.","https://www.alexandria.unisg.ch/196919/","Back, Andrea","null","Informatik/Informatique","Entwicklungen im Markt und in Anwendungsfeldern von Groupware"
