web-scraper-order;web-scraper-start-url;content
1647115527-111;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Marheine, Christian; Pauli, Tobias; Marx, Emanuel; Back, Andrea & Matzner, Martin: 	From Suppliers to Complementors: Motivational Factors for Joining Industrial Internet of Things Platform Ecosystems. 	2021."
1647115527-232;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Enkel, Ellen; Back, Andrea & Vonkrogh, Georg: 	The Concept of Knowledge Networks for Growth.     	In       	Vonkrogh, Georg; Back, Andrea & Enkel, Ellen (Hrsg.):      	Knowledge Networks for Business Growth.  	Berlin : 	Springer, 	2007, 	S. 1-31."
1647115527-256;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Bendel, Oliver & Stoller-Schai, Daniel: 	E-Learning.     	In       	Mertens, Peter & Back, Andrea (Hrsg.):      	Lexikon der Wirtschaftsinformatik.  	Berlin : 	Springer, 	2001, 	S. 164-165."
1647115527-155;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Sammer, Thomas; Lazur, Christian; Walter, Thomas & Back, Andrea: 	Barrieren am Weg zum Mobile Contactless Payment : Eine Marktanalyse und Bestandsaufnahme der Situation in der Schweiz. 	2012. 	- 7. Konferenze Mobile und Ubiquitäre Informationssysteme (MMS). 	- Braunschweig."
1647115527-86;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Back, Andrea  	(1998) 	Editoral. 	Informatik/Informatique, 	Vol. 5 	(6). 	2."
1647115527-92;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Back, Andrea; Seufert, Sabine & Kramhöller, S.  	(1998) 	Technology enabled Management Education - Die Lernum­gebung MBE Genius im Bereich Executive Study an der Universität St. Gallen. 	IO Management, 	21 	(3). 	36-42. 	ISSN 0019-9281"
1647115527-186;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Mayrhofer, David & Back, Andrea: 	Workplace e-collaboration in Practice - Identifying preconditions for successfully implementing e-collaboration in organizations. 	2003. 	- 14th Information Resource Management Association International Conference (IRMA03). 	- Philadelphia, PA."
1647115527-195;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Back, Andrea; Gronau, Norbert & Tochtermann, Klaus (Hrsg.)      	:  	Web 2.0 in der Unternehmenspraxis: Grundlagen, Fallstudien und Trends zum Einsatz von Social Software. 	 	München : 	Oldenbourg, 	2008, 	 	- ISBN 3-486-58579-7."
1647115527-339;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Seufert, Andreas; Back, Andrea & von Krogh, G.: 	A Vision for Knowledge Networking. 	, 	1999,"
1647115527-135;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Berghaus, Sabine & Back, Andrea: 	Adoption of Mobile Business Solutions and its Impact on Organizational Stakeholders. 	2014. 	- The 27th Bled eConference ""eEcosystems"". 	- Bled, Slovenia."
