Alexandria Scraper - Andrea Beck;;;;;;;;;;;;;;;;;;;;
Publikationstitel;Link;Autorennamen;Publikationsart;Journal;Fachgebiete;Sprache;Stichworte;Peer-Reviewed;Datum;Verlag;Auflage;Ausgabe;Seiten;ISSN;DOI;URL;Eingestellt von;Einstellungsdatum;Letzte Änderung;URI
Enterprise 2.0 - Digitale Transformation durch soziale Technologien.;https://www.alexandria.unisg.ch/246905/;Back, Andrea;Buchkapitel;;business studies;Deutsch;;Nein;2016;;1. Aufl.;;123-138;;10.1007/978-3-658-07167-7_9;;Prof. Dr. Andrea Back;22 Jan 2016 10:16;23 Aug 2016 11:22;https://www.alexandria.unisg.ch/publications/246905
The New Window to Athlete’s Soul – What Social Media Tells Us About Athletes’ Performances.;https://www.alexandria.unisg.ch/258471/;"Grüttner, Arne; Vitisvorakarn, Min; Wambsganss, Thiemo; Rietsche, Roman & Back, Andrea";Konferenzbeitrag (Paper);;"business studies
computer science
information management";Englisch;;;7 Januar 2020;;;;;;;;Dr. Arne Grüttner;26 Nov 2019 13:11;24 Feb 2021 08:05;https://www.alexandria.unisg.ch/publications/258471
E-Learning industry updates & recommendations.;https://www.alexandria.unisg.ch/66844/;Back, Andrea;Präsentation;;information management;Deutsch;Präsentation, E-Learning;Nein;24 März 2004;;;;;;;;Prof. Dr. Andrea Back;29 Aug 2006 12:10;23 Aug 2016 11:08;https://www.alexandria.unisg.ch/publications/66844
Identification and Importance of the Technological Risks of Open Source Software in the Enterprise Adoption Context.;https://www.alexandria.unisg.ch/241392/;Silic, Mario & Back, Andrea;"Konferenzbeitrag
  	      (Paper)";;information management;Englisch;open source software, IT risk, IT risk management, enterprise open source software, information security, OSS risk, FLOSS risk, technological risk;Ja;5 März 2015;;;;1163-1176;;;http://aisel.aisnet.org/wi2015/78;Prof. Dr. Andrea Back;03 Jun 2015 11:39;02 Aug 2017 07:56;https://www.alexandria.unisg.ch/publications/241392
Web-Conferencing Software Tools: Evaluierung der Marktführer.;https://www.alexandria.unisg.ch/67644/;"Mayrhofer, David; Back, Andrea & Hubschmid, Roger";Monograpg  (Working Paper);;information management;Deutsch;E-Collaboration, Virtual Classroom;Nein;1 April 2004;Institut für Wirtschaftsinformatik;;1/2004;;;;;David Mayrhofer;16 Apr 2009 15:26;23 Aug 2016 11:08;https://www.alexandria.unisg.ch/publications/67644
eLearning 2.0: Web-Architekturen des Mitwirkens laden Sie ein.;https://www.alexandria.unisg.ch/213932/;Back, Andrea;Präsentation;;information management;Deutsch;Präsentation, E-Learning, Web-based Training;Nein;28 September 2006;;;;;;;;Prof. Dr. Andrea Back;02 Mar 2007 11:15;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/213932
e-Learning-Projekte: Neue Möglichkeiten durch vernetztes Lernen. Konzepte - Geschäftsmodelle - Erfahrungen.;https://www.alexandria.unisg.ch/66839/;Back, Andrea;Präsentation;;information management;Deutsch;Präsentation, E-Learning, Web-based Training, Lern- und Wissensportale;Nein;28 September 2000;;;;;;;;Prof. Dr. Andrea Back;29 Aug 2006 11:57;23 Aug 2016 11:08;https://www.alexandria.unisg.ch/publications/66839
Adoption of Mobile Business Solutions and its Impact on Organizational Stakeholders.;https://www.alexandria.unisg.ch/232052/;Berghaus, Sabine & Back, Andrea;"Konferenzbeitrag
  	      (Paper)";;information management;Englisch;Mobile Enterprise, Adoption, Mobile Business Solutions;Ja;1 Juni 2014;;;;37-49;;;http://aisel.aisnet.org/bled2014/8;Prof. Dr. Andrea Back;10 Jun 2014 11:20;04 Mai 2017 07:40;https://www.alexandria.unisg.ch/publications/232052
Strategisches Management & Informations- und Kommunikationstechnologien (IKT) insbesondere Knowledge Management.;https://www.alexandria.unisg.ch/66888/;Back, Andrea;Präsentation;;information management;Deutsch;Präsentation, Knowledge Management;Nein;12 Mai 1998;;;;;;;;Prof. Dr. Andrea Back;30 Aug 2006 09:33;23 Aug 2016 11:08;https://www.alexandria.unisg.ch/publications/66888
eCollaboration.;https://www.alexandria.unisg.ch/66852/;Back, Andrea;Präsentation;;information management;Deutsch;Präsentation, E-Collaboration;Nein;13 März 2002;;;;;;;;Prof. Dr. Andrea Back;29 Aug 2006 12:21;23 Aug 2016 11:08;https://www.alexandria.unisg.ch/publications/66852
