Alexandria Scraper - Andrea Beck;;;;;;;;;;;;;;;;;;;;
Publikationstitel;Link;Autorennamen;Publikationsart;Journal;Fachgebiete;Sprache;Stichworte;Peer-Reviewed;Datum;Verlag;Auflage;Ausgabe;Seiten;ISSN;DOI;URL;Eingestellt von;Einstellungsdatum;Letzte Änderung;URI
Assessing Degrees of Web-2.0-ness: Model and Results for Product Websites in the Pharma-Industry.;https://www.alexandria.unisg.ch/232358/;Back, Andrea & Haager, Christopher;"Konferenzbeitrag
  	      (Paper)";;information management;Englisch;Web 2.0, 2.0-ness, maturity model, pharmaceutical industry, product websites, design patterns;Ja;12 Juni 2011;;;;321-333;;;https://domino.fov.uni-mb.si/proceedings.nsf/Proce...;Prof. Dr. Andrea Back;26 Jun 2014 09:17;12 Mar 2022 01:23;https://www.alexandria.unisg.ch/publications/232358
Web-Video zur Wissenskommunikation.;https://www.alexandria.unisg.ch/68834/;Back, Andrea;Präsentation;;information management;Deutsch;E-Learning;Nein;13 April 2010;;;;;;;;Prof. Dr. Andrea Back;17 Aug 2010 10:49;23 Aug 2016 11:08;https://www.alexandria.unisg.ch/publications/68834
Adoption of Online Videos in Organizations : A Multi-Case Comparison.;https://www.alexandria.unisg.ch/223554/;Ruf, Christian & Back, Andrea;"Konferenzbeitrag
  	      (Paper)";;information management;Englisch;IT Adoption, Online Video, Case Study Research;Ja;9 Juni 2013;;;;339-348;;;http://aisel.aisnet.org/bled2013/25;Christian Ruf;14 Jun 2013 14:39;03 Mai 2017 14:54;https://www.alexandria.unisg.ch/publications/223554
"Web-based Open Innovation - ""What‘s Your Strategy for Creating Knowledge, Products, and Services with Online Communities?"".";https://www.alexandria.unisg.ch/213661/;Back, Andrea;Präsentation;;information management;Deutsch;Web 2.0;Nein;19 März 2009;;;;;;;;Prof. Dr. Andrea Back;02 Apr 2009 10:47;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/213661
Social Software Use-Cases in verschiedenen Geschäftsfunktionen bei Swiss Re.;https://www.alexandria.unisg.ch/216604/;"Back, Andrea; Isenschmid, Christoph & Jastrowski, Wolfgang";Buchkapitel;;information management;Deutsch;Web 2.0;Nein;2012;;3., vollst. überarb. Aufl.;;239-251;;;;Prof. Dr. Andrea Back;12 Sep 2012 17:26;23 Aug 2016 11:14;https://www.alexandria.unisg.ch/publications/216604
Was kann die Hochschule aus der Unternehmenspraxis lernen? (per Videokonferenz).;https://www.alexandria.unisg.ch/214167/;Back, Andrea;Präsentation;;information management;Deutsch;;Nein;23 Oktober 2009;;;;;;;;Prof. Dr. Andrea Back;17 Dez 2009 14:35;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/214167
The Knowledge Creation Company: Strategisches Management & IKT.;https://www.alexandria.unisg.ch/213560/;Back, Andrea & Seufert, Andreas;Präsentation;;information management;Deutsch;Präsentation;Nein;16 April 1998;;;;;;;;Prof. Dr. Andrea Back;30 Aug 2006 09:39;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/213560
Implementierung von Wissensmanagement-Systemen und -Netzwerken.;https://www.alexandria.unisg.ch/214305/;Back, Andrea;Präsentation;;information management;Deutsch;Präsentation, Knowledge Management;Nein;12 Mai 2004;;;;;;;;Prof. Dr. Andrea Back;29 Aug 2006 12:34;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/214305
Enterprise Work 2.0: So arbeiten Profis im Netz - und ich?;https://www.alexandria.unisg.ch/67838/;Back, Andrea;Präsentation;;information management;Deutsch;Business 2.0, Enterprise 2.0;Nein;29 July 2009;;;;;;;;Prof. Dr. Andrea Back;09 Okt 2009 12:40;23 Aug 2016 11:08;https://www.alexandria.unisg.ch/publications/67838
Business Engineering - Die ersten 15 Jahre.;https://www.alexandria.unisg.ch/213582/;;Buch;;information management;;Business Engineering;Nein;2004;Springer;;;421;;10.1007/978-3-642-18542-7;;Prof. em.  Hubert Österle;12 Jan 2005 16:16;24 Mar 2016 12:21;https://www.alexandria.unisg.ch/publications/213582
A methodology for adapting Knowledge Networks - managerial guidelines.;https://www.alexandria.unisg.ch/256/;"Enkel, Ellen; Gurgul, Grzegorz & Rumyantseva, Maria";Buchkapitel;;business studies;Englisch;Knowledge Networks, Guideline, Customer Integration, Networks for M&A Integration, Innovation Networks;Ja;2007;Springer;;;99-163;;10.1007/978-3-540-33073-8_5;;Ellen Enkel;25 Okt 2004 11:11;23 Aug 2016 10:52;https://www.alexandria.unisg.ch/publications/256
Mobile Contactless Payments Adoption Challenge in the Complex Network Actor Ecosystem.;https://www.alexandria.unisg.ch/232050/;"Silic, Mario; Back, Andrea & Ruf, Christian";"Konferenzbeitrag
  	      (Paper)";;business studies;Englisch;"NFC; contactless payment; information security; mobile; MCP";Ja;1 Juni 2014;;;;306-317;;;http://aisel.aisnet.org/bled2014/33;Prof. Dr. Andrea Back;10 Jun 2014 11:05;03 Mai 2017 14:48;https://www.alexandria.unisg.ch/publications/232050
A Reference Model for E-Collaboration within the Dispersed Sales Force Training Process in Multinational Companies.;https://www.alexandria.unisg.ch/214092/;Heidecke, Florian & Back, Andrea;Buchkapitel;;information management;Deutsch;E-Collaboration;Nein;2009;;;;735-750;;;;Florian Heidecke;25 Sep 2009 12:06;11 Mar 2022 01:22;https://www.alexandria.unisg.ch/publications/214092
Podcasting.;https://www.alexandria.unisg.ch/213767/;Haentschel-erhart, Irene;Buchkapitel;;information management;Deutsch;Podcast, Web 2.0, Social Software;Nein;2008;;;;51-56;;;;Irene Haentschel-erhart;08 Jul 2008 13:04;07 Apr 2016 07:22;https://www.alexandria.unisg.ch/publications/213767
Wissensmanagement und -Tools.;https://www.alexandria.unisg.ch/196897/;Back, Andrea;Präsentation;;information management;Deutsch;Präsentation, Knowledge Management;Nein;1 Oktober 2002;;;;;;;;Prof. Dr. Andrea Back;30 Aug 2006 09:57;23 Aug 2016 11:10;https://www.alexandria.unisg.ch/publications/196897
Produktivität von Wissensarbeitern.;https://www.alexandria.unisg.ch/214086/;Back, Andrea & Heidecke, Florian;Buchkapitel;;information management;Deutsch;Web 2.0, Social Software, E-Collaboration, Enterprise 2.0;Nein;2008;;;;99-112;;;;Prof. Dr. Andrea Back;22 Jul 2008 13:36;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/214086
Perspectives for our partners. Innovation and the network option.;https://www.alexandria.unisg.ch/288/;"Rumyantseva, Maria; Enkel, Ellen & Gurgul, Grzegorz";"Monograph
  	      
              (Working Paper)";;other research area;Englisch;;Nein;2002;;;Vol.6.BE HSG/IWI 3/IfB HSG No. 36;;;;;Ellen Enkel;25 Okt 2004 11:17;23 Aug 2016 10:52;https://www.alexandria.unisg.ch/publications/288
Social Media Update: Objectives and Trends.;https://www.alexandria.unisg.ch/214342/;Back, Andrea;Präsentation;;information management;Deutsch;Business 2.0, Social Media;Nein;25 Oktober 2010;;;;;;;;Prof. Dr. Andrea Back;08 Sep 2011 14:08;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/214342
Towards Measuring Crowdsourcing Success: An Empirical Study on Effects of External Factors in Online Idea Contest.;https://www.alexandria.unisg.ch/214388/;Walter, Thomas & Back, Andrea;"Konferenzbeitrag
  	      (Paper)";;information management;Deutsch;;Nein;4 September 2011;AIS Electronic Library (AISeL);;;;;;http://aisel.aisnet.org/mcis2011/63;Dr. Thomas Walter;19 Okt 2011 09:56;23 Aug 2017 09:21;https://www.alexandria.unisg.ch/publications/214388
Tablet Books: Your Courses' Material in Harry Potter Newspaper Style.;https://www.alexandria.unisg.ch/216775/;Back, Andrea;Präsentation;;information management;Deutsch;E-Learning;Nein;3 April 2012;;;;;;;;Prof. Dr. Andrea Back;20 Sep 2012 17:32;23 Aug 2016 11:14;https://www.alexandria.unisg.ch/publications/216775
Agile Innovation for Next Generation Mobile Business.;https://www.alexandria.unisg.ch/255092/;Guggisberg, Vanessa & Back, Andrea;"Monograph
  	      
              (Working Paper)";;"business studies
information management";Englisch;;;Dezember 2017;Institut für Wirtschaftsinformatik;;;65;;;;Prof. Dr. Andrea Back;28 Sep 2018 07:58;28 Sep 2018 07:58;https://www.alexandria.unisg.ch/publications/255092
Aufbau einer massgeschneiderten IT-Architektur für das Wissensmanagement.;https://www.alexandria.unisg.ch/213156/;Back, Andrea;Präsentation;;information management;Deutsch;Präsentation;Nein;1 März 2000;;;;;;;;Prof. Dr. Andrea Back;29 Aug 2006 11:31;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/213156
Weblogs und Wikis in der Hochschullehre: ein Erfahrungsbericht.;https://www.alexandria.unisg.ch/67060/;Back, Andrea;Präsentation;;information management;Deutsch;Präsentation;Nein;13 July 2006;;;;;;;;Prof. Dr. Andrea Back;28 Feb 2007 14:06;23 Aug 2016 11:08;https://www.alexandria.unisg.ch/publications/67060
eLearning als Herausforderung für die Personal- und Organisationsentwicklung.;https://www.alexandria.unisg.ch/214097/;Back, Andrea;Präsentation;;information management;Deutsch;Präsentation, E-Learning;Nein;17 July 2001;;;;;;;;Prof. Dr. Andrea Back;29 Aug 2006 12:27;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/214097
State-of-the-Art on Maturity Models for Collaboration.;https://www.alexandria.unisg.ch/214253/;Hain, Stefanie & Back, Andrea;"Monograph
  	      
              (Working Paper)";;information management;Englisch;;Nein;1 Oktober 2009;Institute of Information Management, Universtiy of St. Gallen;;01/2009;;;;;Stefanie Hain;29 Okt 2009 15:35;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/214253
Web-based Open Innovation: Wie Online-Gemeinschaften Dienstleistungen, Produkte und Wissen produzieren.;https://www.alexandria.unisg.ch/67842/;Back, Andrea;Präsentation;;information management;Deutsch;;Nein;5 Mai 2009;;;;;;;;Prof. Dr. Andrea Back;09 Okt 2009 13:05;23 Aug 2016 11:08;https://www.alexandria.unisg.ch/publications/67842
Towards Microblogging Success Factors : An Empirical Survey on Twitter Usage of Austrian Universities.;https://www.alexandria.unisg.ch/211866/;Sammer, Thomas & Back, Andrea;"Konferenzbeitrag
  	      (Paper)";;information management;Englisch;;Ja;3 September 2011;AIS Electronic Library (AISeL);;;12;;;http://aisel.aisnet.org/mcis2011/40;Thomas Sammer;02 Mai 2012 16:06;23 Aug 2017 09:22;https://www.alexandria.unisg.ch/publications/211866
Die Rolle des CLO.;https://www.alexandria.unisg.ch/213651/;Back, Andrea;Präsentation;;information management;Deutsch;Präsentation;Nein;26 November 2003;;;;;;;;Prof. Dr. Andrea Back;29 Aug 2006 11:49;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/213651
Balanced Learning Scorecard: Den Wert von (E-)Learning-Innovationen für Geschäftsziele kommunizieren.;https://www.alexandria.unisg.ch/213936/;Back, Andrea;Buchkapitel;;information management;Deutsch;Balanced Scorecard, E-Learning;Nein;2005;;;;131-140;;10.1007/3-540-27058-2_10;;Prof. Dr. Andrea Back;08 Jul 2005 10:34;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/213936
Knowledge Networks - A Tools Perspective.;https://www.alexandria.unisg.ch/197477/;"Raimann, Joerg; Koehne, Marija; Seufert, Andreas; Back, Andrea & von Krogh, G.";"Monograph
  	      
              (Working Paper)";;information management;Englisch;Knowledge Network Architecture, Knowledge Networks;Nein;1 Januar 2000;;;;;;;;Prof. Dr. Andrea Back;30 Jun 2006 11:45;23 Aug 2016 11:10;https://www.alexandria.unisg.ch/publications/197477
Projektmanagement bei verteilten Teams mit Jive-Gruppen im Swiss Re Ourspace.;https://www.alexandria.unisg.ch/216607/;"Back, Andrea; Fuellemann, Peter & Jastrowski, Wolfgang";Buchkapitel;;information management;Deutsch;Web 2.0, E-Collaboration;Nein;2012;;3., vollst. überarb. Aufl.;;293-301;;;;Prof. Dr. Andrea Back;12 Sep 2012 17:26;23 Aug 2016 11:14;https://www.alexandria.unisg.ch/publications/216607
Implementierung und Nutzung der Prozesskostenrechnung.;https://www.alexandria.unisg.ch/214286/;Back, Andrea;Buchkapitel;;information management;Deutsch;Prozess;Nein;1995;;;;37-39;;;;Prof. Dr. Andrea Back;30 Jun 2006 11:18;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/214286
Atos - Towards Zero Email Company.;https://www.alexandria.unisg.ch/242235/;"Silic, Mario; Back, Andrea & Silic, Dario";"Konferenzbeitrag
  	      (Paper)";;business studies;Englisch;"Social collaboration; E-mail; Zero-email; Enterprise social network; blueKiwi";Ja;28 Mai 2015;;;;;;10.18151/7217476;http://aisel.aisnet.org/ecis2015_cr/168/;Prof. Dr. Andrea Back;02 Jul 2015 15:47;13 Mar 2022 01:22;https://www.alexandria.unisg.ch/publications/242235
Employee acceptance and use of unified communications and collaboration in a cross-cultural environment.;https://www.alexandria.unisg.ch/254008/;"Silic, Mario; Back, Andrea & Sammer, Thomas";Buchkapitel;;information management;Englisch;;;2017;;;;1-22;;;;Prof. Dr. Andrea Back;04 Apr 2018 10:22;13 Mar 2022 01:23;https://www.alexandria.unisg.ch/publications/254008
Crowdsourcing as a Business Model: An exploration of emergent textbooks harnessing the wisdom of crowds.;https://www.alexandria.unisg.ch/69069/;Walter, Thomas & Back, Andrea;"Konferenzbeitrag
  	      (Paper)";;information management;Englisch;;Nein;23 Juni 2010;AIS;;;555-568;;;http://aisel.aisnet.org/bled2010/3;Dr. Thomas Walter;02 Sep 2010 14:26;03 Mai 2017 15:04;https://www.alexandria.unisg.ch/publications/69069
Website Usability for Internet Banking.;https://www.alexandria.unisg.ch/214619/;Zollet, Roman & Back, Andrea;"Konferenzbeitrag
  	      (Paper)";;information management;Englisch;Usability;Ja;20 Juni 2010;;;;166-180;;;http://aisel.aisnet.org/bled2010/29;Roman Zollet;19 Jun 2012 13:28;03 Mai 2017 15:04;https://www.alexandria.unisg.ch/publications/214619
Erfolgsmessung zum Einsatz von Social Software im Softwareentwicklungsprozess am Beispiel der T-Systems Multimedia Solutions GmbH.;https://www.alexandria.unisg.ch/71770/;"Sammer, Thomas; Lin, Dada; Back, Andrea & Schoenefeld, Frank";"Konferenzbeitrag
  	      (Paper)";GI-Edition;information management;Deutsch;Social Software;Nein;22 Februar 2011;;;;47-57;1617-5468;;http://subs.emis.de/LNI/Proceedings/Proceedings182...;Thomas Sammer;03 Feb 2011 10:53;13 Mar 2022 01:21;https://www.alexandria.unisg.ch/publications/71770
E-Learning im Unternehmen: Grundlagen - Strategien - Methoden - Technologien.;https://www.alexandria.unisg.ch/214187/;"Back, Andrea; Bendel, Oliver & Stoller-Schai, Daniel";Buch;;information management;Deutsch;Blended Learning, Computer-based Training, E-Learning, E-Training, Just-in-time-E-Learning, Knowledge Management, Lern- und Wissensportale, Lernprozesse, Lernsysteme, Lerntechnologien, Mobile Learning, Pädagogische Agenten, Web-based Training;Nein;2001;Orell Füssli;;;319;;;;Prof. Dr. Andrea Back;30 Jun 2006 10:03;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/214187
Zum Verhältnis von informationstechnologischer und gesellschaftlicher Entwicklung: Bildung für Informationstechnik - Informationstechnik für Bildung.;https://www.alexandria.unisg.ch/196704/;Österle, Hubert & Back, Andrea;Buchkapitel;;information management;Deutsch;;Nein;1997;Franzbecker;;;41-58;;;;Prof. em.  Hubert Österle;30 Jun 2006 10:37;23 Aug 2016 11:10;https://www.alexandria.unisg.ch/publications/196704
Workshop Virtual Academia: Developments in new technology platforms.;https://www.alexandria.unisg.ch/66904/;Back, Andrea;Präsentation;;information management;Deutsch;Präsentation;Nein;27 November 1998;;;;;;;;Prof. Dr. Andrea Back;30 Aug 2006 10:08;23 Aug 2016 11:08;https://www.alexandria.unisg.ch/publications/66904
Reifegrad-Modell und Methode zur Beurteilung des Vorbereitungsgrads von Organisationen für die Einführung von Kollaboration 2.0.;https://www.alexandria.unisg.ch/221827/;Back, Andrea;Präsentation;;information management;Deutsch;Enterprise 2.0, Social Software;Nein;15 September 2010;;;;;;;;Prof. Dr. Andrea Back;17 Sep 2010 09:46;23 Aug 2017 08:12;https://www.alexandria.unisg.ch/publications/221827
Towards a Framework for Business Model Design of Scientific Journals with Web 2.0 Principles.;https://www.alexandria.unisg.ch/214408/;Back, Andrea;Präsentation;;information management;Deutsch;Web 2.0;Nein;4 September 2011;;;;;;;;Prof. Dr. Andrea Back;26 Okt 2011 12:28;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/214408
Newsaggregatoren-Software - ein Marktüberblick.;https://www.alexandria.unisg.ch/213814/;Heidecke, Florian & Back, Andrea;"Monograph
  	      
              (Working Paper)";;information management;Deutsch;E-Collaboration, Groupware;Nein;1 April 2007;Learning Center, Prof. Dr. Andrea Back;;1/2007;;;;;Florian Heidecke;16 Apr 2009 15:20;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/213814
Virtual Reality.;https://www.alexandria.unisg.ch/66700/;Back, Andrea;Buchkapitel;;information management;Deutsch;;Nein;2001;Springer;4., neubearb. u. erw. Aufl.;;492-494;;;;Prof. Dr. Andrea Back;23 Jun 2006 16:52;23 Aug 2016 11:08;https://www.alexandria.unisg.ch/publications/66700
Beiträge des Balanced-Scorecard-Ansatzes zur strategischen Verankerung von E-Learning im Unternehmen.;https://www.alexandria.unisg.ch/213161/;Back, Andrea & Leithner, Barbara;Buchkapitel;;information management;Deutsch;;Nein;2005;Physica-Verlag;;;81-99;;10.1007/3-7908-1655-8_7;;Prof. Dr. Andrea Back;18 Jun 2006 12:11;13 Mar 2022 01:21;https://www.alexandria.unisg.ch/publications/213161
Kooperatives Lernen im Internet.;https://www.alexandria.unisg.ch/213414/;Back, Andrea;Präsentation;;information management;Deutsch;Präsentation;Nein;1 September 1999;;;;;;;;Prof. Dr. Andrea Back;29 Aug 2006 12:44;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/213414
Potentiale der neuen Medien in der Ausbildung: 7 Thesen.;https://www.alexandria.unisg.ch/214310/;Back, Andrea;Präsentation;;information management;Deutsch;Präsentation;Nein;20 August 1998;;;;;;;;Prof. Dr. Andrea Back;30 Aug 2006 09:25;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/214310
Chief-Learning-Officer-Projektagenda 200x.;https://www.alexandria.unisg.ch/213774/;Back, Andrea;"Konferenzbeitrag
  	      (Paper)";;information management;Deutsch;;Nein;30 September 2002;;19;;83-89;;;;Prof. Dr. Andrea Back;30 Jun 2006 09:41;13 Mar 2022 01:21;https://www.alexandria.unisg.ch/publications/213774
Silo-Breaking through Open (e-)Cooperation - Zusammenarbeit von Hochschullehre und Unternehmenspraxis.;https://www.alexandria.unisg.ch/197456/;Back, Andrea;Präsentation;;information management;Deutsch;;Nein;11 März 2010;;;;;;;;Prof. Dr. Andrea Back;17 Aug 2010 11:02;23 Aug 2016 11:10;https://www.alexandria.unisg.ch/publications/197456
A Text Mining Approach to Evaluate Submissions to Crowdsourcing Contests.;https://www.alexandria.unisg.ch/223363/;Walter, Thomas & Back, Andrea;"Konferenzbeitrag
  	      (Paper)";;business studies;Englisch;;Ja;7 Januar 2013;IEEE Computer Society;1. Aufl.;;3109-3118;;10.1109/HICSS.2013.64;;Prof. Dr. Andrea Back;05 Jun 2013 14:09;23 Aug 2016 11:16;https://www.alexandria.unisg.ch/publications/223363
Unterwegs auf der Formel 1-Rennstrecke der e-Learning-Innovationen.;https://www.alexandria.unisg.ch/67057/;Back, Andrea;Präsentation;;information management;Deutsch;Präsentation, E-Learning, E-Learning-Strategien;Nein;4 Dezember 2006;;;;;;;;Prof. Dr. Andrea Back;28 Feb 2007 12:29;23 Aug 2016 11:08;https://www.alexandria.unisg.ch/publications/67057
Der rechte Umgang mit Stakeholdern.;https://www.alexandria.unisg.ch/66833/;Back, Andrea;Präsentation;;information management;Deutsch;Präsentation;Nein;8 Oktober 2003;;;;;;;;Prof. Dr. Andrea Back;29 Aug 2006 11:45;23 Aug 2016 11:08;https://www.alexandria.unisg.ch/publications/66833
Demos von Anwendungen aus der Praxis und Forschungsergebnissen.;https://www.alexandria.unisg.ch/216814/;Back, Andrea & von Koenigsmarck, Otfried;Präsentation;;information management;Deutsch;;Nein;11 September 2012;;;;;;;;Prof. Dr. Andrea Back;21 Sep 2012 11:52;23 Aug 2016 11:14;https://www.alexandria.unisg.ch/publications/216814
Training for Knowledge Networks: Documentation.;https://www.alexandria.unisg.ch/214311/;"Vassiliadis, Stefanos; Raimann, Joerg; Seufert, Andreas; Back, Andrea & von Krogh, G.";"Monograph
  	      
              (Working Paper)";;information management;Englisch;Knowledge Networks;Nein;1 Oktober 2000;;;;;;;;Prof. Dr. Andrea Back;23 Jun 2006 16:53;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/214311
Knowledge Networks und Knowledge Management Technologien.;https://www.alexandria.unisg.ch/213377/;Back, Andrea;Präsentation;;information management;Deutsch;Präsentation, Knowledge Networks, Knowledge Management;Nein;27 Juni 2000;;;;;;;;Prof. Dr. Andrea Back;29 Aug 2006 12:43;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/213377
Coworking aus Unternehmenssicht – Serendipity-Biotop oder Fluchtort?;https://www.alexandria.unisg.ch/250003/;Josef, Barbara & Back, Andrea;"Monograph
  	      
              (Working Paper)";;business studies;Deutsch;;;Dezember 2016;IWI-HSG, Universität St.Gallen;;;56;;;https://aback.iwi.unisg.ch/kompetenz/coworking-stu...;Prof. Dr. Andrea Back;22 Dez 2016 11:38;22 Dez 2016 11:40;https://www.alexandria.unisg.ch/publications/250003
Management Informationssysteme.;https://www.alexandria.unisg.ch/197075/;Back, Andrea;Buchkapitel;;information management;Deutsch;;Nein;1996;Oldenbourg;;;;;;;Prof. Dr. Andrea Back;30 Jun 2006 12:43;23 Aug 2016 11:10;https://www.alexandria.unisg.ch/publications/197075
Skill-Management: Heutiger Erkenntnisstand.;https://www.alexandria.unisg.ch/213314/;Back, Andrea;Präsentation;;information management;Deutsch;Präsentation;Nein;1 Oktober 2002;;;;;;;;Prof. Dr. Andrea Back;30 Aug 2006 09:31;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/213314
Praxisberichte aus dem Competence Network Business 2.0.;https://www.alexandria.unisg.ch/67257/;Back, Andrea & Haentschel-erhart, Irene;Präsentation;;information management;Deutsch;Präsentation, Web 2.0, Social Software, Cases;Nein;25 Oktober 2007;;;;;;;;Prof. Dr. Andrea Back;09 Nov 2007 10:37;23 Aug 2016 11:08;https://www.alexandria.unisg.ch/publications/67257
Learning Journal - Weblogs in Academic Courses.;https://www.alexandria.unisg.ch/213205/;Hain, Stefanie & Back, Andrea;"Konferenzbeitrag
  	      (Paper)";;information management;Englisch;Weblog, Web 2.0;Ja;26 Juni 2008;;;;197-202;;;;Stefanie Hain;29 Okt 2009 15:43;19 Jul 2017 11:54;https://www.alexandria.unisg.ch/publications/213205
E-Learning im Unternehmen.;https://www.alexandria.unisg.ch/66842/;Back, Andrea;Präsentation;;information management;Deutsch;Präsentation;Nein;6 März 2006;;;;;;;;Prof. Dr. Andrea Back;29 Aug 2006 12:08;12 Mar 2022 01:21;https://www.alexandria.unisg.ch/publications/66842
Strategy Map und Scorecard für E-Learning Initiativen.;https://www.alexandria.unisg.ch/67254/;Back, Andrea;Präsentation;;information management;Deutsch;Präsentation, E-Learning;Nein;20 September 2007;;;;;;;;Prof. Dr. Andrea Back;09 Nov 2007 10:23;23 Aug 2016 11:08;https://www.alexandria.unisg.ch/publications/67254
e-Learning-Projekte: Lernen via e-Training und e-Collaboration.;https://www.alexandria.unisg.ch/66838/;Back, Andrea;Präsentation;;information management;Deutsch;Präsentation, E-Learning, E-Collaboration, E-Training;Nein;25 September 2001;;;;;;;;Prof. Dr. Andrea Back;29 Aug 2006 11:55;23 Aug 2016 11:08;https://www.alexandria.unisg.ch/publications/66838
E-Learning als Wachstumsmarkt: Zahlen, Fakten und Beispiele.;https://www.alexandria.unisg.ch/66840/;Back, Andrea;Präsentation;;information management;Deutsch;Präsentation;Nein;2 November 2000;;;;;;;;Prof. Dr. Andrea Back;29 Aug 2006 12:02;23 Aug 2016 11:08;https://www.alexandria.unisg.ch/publications/66840
Fostering New Ventures: Organisational conditions for New Ventures in Unilever.;https://www.alexandria.unisg.ch/293/;"van Wegen, B.; Makarevitch, Alexei; Kayser, T. & Enkel, Ellen";"Monograph
  	      
              (Working Paper)";;business studies;Englisch;confidential;Ja;2001;;;BE HSG/IWI3 IfB No 32;;;;;Ellen Enkel;25 Okt 2004 11:17;27 Feb 2016 14:40;https://www.alexandria.unisg.ch/publications/293
Is an App Better than an Email? Developing Trust in a Mobile Financial Advisory Service : Design and Evaluation of a Prototype.;https://www.alexandria.unisg.ch/239780/;"Ruf, Christian; Back, Andrea & Wittmann, Matthias";"Konferenzbeitrag
  	      (Paper)";;information management;Deutsch;mobile service, mobile banking, trust, experimental evaluation;Ja;5 März 2015;;;;225-239;;;http://aisel.aisnet.org/wi2015/16;Christian Ruf;10 Mar 2015 16:31;23 Aug 2016 11:21;https://www.alexandria.unisg.ch/publications/239780
Knowledge Management: Concepts and Technologies.;https://www.alexandria.unisg.ch/66868/;Back, Andrea;Präsentation;;information management;Deutsch;Präsentation, Knowledge Management;Nein;22 April 1998;;;;;;;;Prof. Dr. Andrea Back;29 Aug 2006 12:41;23 Aug 2016 11:08;https://www.alexandria.unisg.ch/publications/66868
"Einführung und Leitung 1. Block 2. Woche: ""Applikationen"", Groupware und Knowledge Management.";https://www.alexandria.unisg.ch/66853/;Back, Andrea;Präsentation;;information management;Deutsch;Präsentation;Nein;5 Januar 1999;;;;;;;;Prof. Dr. Andrea Back;29 Aug 2006 12:24;23 Aug 2016 11:08;https://www.alexandria.unisg.ch/publications/66853
Corporate eLearning and Knowledge Management: Will convergence bridge the gaps?;https://www.alexandria.unisg.ch/66831/;Back, Andrea;Präsentation;;information management;Deutsch;Präsentation, E-Learning, Knowledge Management;Nein;16 Februar 2004;;;;;;;;Prof. Dr. Andrea Back;29 Aug 2006 11:40;23 Aug 2016 11:08;https://www.alexandria.unisg.ch/publications/66831
Zeit für kreative Verdrängung des Althergebrachten im betrieblichen E-Learning: Disruptive Innovation.;https://www.alexandria.unisg.ch/67620/;Back, Andrea;Präsentation;;information management;Deutsch;;Nein;2 März 2009;;;;;;;;Prof. Dr. Andrea Back;02 Apr 2009 10:44;23 Aug 2016 11:08;https://www.alexandria.unisg.ch/publications/67620
Zum Verhältnis von eLearning und Wissensmanagement in Unternehmen.;https://www.alexandria.unisg.ch/213831/;Back, Andrea;Präsentation;;information management;Deutsch;Präsentation, E-Learning, Knowledge Management;Nein;1 Oktober 2002;;;;;;;;Prof. Dr. Andrea Back;30 Aug 2006 10:09;13 Mar 2022 01:21;https://www.alexandria.unisg.ch/publications/213831
From Suppliers to Complementors: Motivational Factors for Joining Industrial Internet of Things Platform Ecosystems.;https://www.alexandria.unisg.ch/261271/;"Marheine, Christian; Pauli, Tobias; Marx, Emanuel; Back, Andrea & Matzner, Martin";"Konferenzbeitrag
  	      (Paper)";;"business studies
information management";Englisch;IoT, B2B, Platform, Ecosystem, Join;Ja;Januar 2021;;Proceedings of the 54th Hawaii International Conference on System Sciences;;;;;;Christian Marheine;23 Okt 2020 15:43;17 Feb 2021 17:14;https://www.alexandria.unisg.ch/publications/261271
Mobile Business.;https://www.alexandria.unisg.ch/246909/;Back, Andrea & Ruf, Christian;Buchkapitel;;business studies;Deutsch;;Nein;2016;;1. Aufl.;;357-381;;10.1007/978-3-658-07167-7_20;;Prof. Dr. Andrea Back;22 Jan 2016 11:00;13 Mar 2022 01:23;https://www.alexandria.unisg.ch/publications/246909
